Oldrand 4 MSBs,Oldrand 4 LSBs,Von-Neumann,Mesrene-Twister,AES
9,0,4106,3586359552,1431265667
15,9,8592,1079232033,852840468
1,14,8224,23616192,1962751902
3,15,6341,2503912474,3920055966
7,12,2082,3329714856,832963090
8,5,3472,4215793989,1816368953
10,10,547,1072550445,2270368883
9,11,9920,2238080868,3248339573
15,8,4064,4034505715,1241287752
11,1,5160,347916368,17414057
2,6,6256,1512263806,2668850716
13,7,1375,64588605,3039617170
0,4,9062,916652891,2817300177
4,13,1198,979558888,2138285282
4,2,3520,1094969502,2250946702
13,3,3904,1980449209,2396466862
14,0,2412,3519592858,3596727981
6,9,1774,1965288183,175581673
13,14,4707,3079818848,2362198244
0,15,1558,3709150329,1778316731
5,12,2736,456976270,2100354468
8,5,8569,3527014072,4081416727
12,10,4277,3495510149,4189580369
4,11,2927,2933942550,641724995
6,8,6732,1983652204,2510011311
12,1,3198,1212960355,3780963455
14,6,2272,3291079146,586006900
13,7,6198,377241237,63718234
2,4,4152,2103720656,4069575655
1,13,2391,2543089880,3024503908
12,2,1688,3345039911,1561830803
5,3,4934,1152054169,3663943539
6,0,3443,2894016248,4252961121
8,9,8542,2579517349,4064501782
12,14,9657,4203534617,1386514967
9,15,2576,4198695674,280984138
3,12,3577,433192648,686431288
5,5,7949,3691156645,733107587
14,10,1866,3711460195,4023204552
3,11,8195,3132193835,8452956
3,8,1580,4005805696,2586038307
12,1,9640,2173983834,3375507054
1,6,9296,339770237,1385101719
5,7,4156,2292749781,3307878919
9,4,2723,2819236227,2581655819
1,13,1472,2436071470,3411068167
7,2,6678,2969618341,2304538478
12,3,5956,1678794540,2194022224
13,0,4739,2188473141,351393425
12,9,4581,3528275243,313112394
3,14,9855,390106718,3099413712
3,15,1210,2558955280,4224876269
9,12,6410,653286669,3235739105
8,5,881,4271067218,2903035381
10,10,7616,3701764432,603978234
13,11,34,70859142,1687645758
6,8,1156,2185567309,4089310720
9,1,3633,66985086,3212311607
1,6,1986,1332800437,967713187
7,7,4419,3275341414,973138360
15,4,5275,4112748166,3393442547
10,13,8256,1559801479,3894982878
13,2,1615,2769564126,952154091
2,3,822,2813533805,3242211604
1,0,7568,3677655192,3445187465
0,9,2746,1497972246,1284877493
0,14,4051,362903369,1953220768
6,15,4106,2522733979,2143508172
7,12,8592,4272854642,2392144240
5,5,8224,711746078,1001510156
7,10,6341,2841773224,266107066
11,11,2082,2410826802,579460327
7,8,3472,3859224388,1812675667
14,1,547,3738418229,4050746964
9,6,9920,3083695477,3022752840
8,7,4064,2266404917,322750443
13,4,5160,1190361579,1640250504
5,13,6256,1168843961,1982598772
1,2,1375,2090197311,2545485968
14,3,9062,103105858,2542946054
13,0,1198,3342263,1135439986
7,9,3520,3950860082,3687759110
1,14,3904,2931302834,1633156132
13,15,2412,3426404641,4106561481
14,12,1774,297458024,2725192863
15,5,4707,2702202399,1504670266
15,10,1558,1310725083,1027770897
13,11,2736,2964493371,414492015
8,8,8569,3443026704,3082016724
14,1,4277,1423691300,1234040199
1,6,2927,2415843245,2447013521
14,7,6732,2657692949,337831110
11,4,3198,4291654759,1141933233
14,13,2272,4167591065,3867243635
1,2,6198,1587086071,503526501
6,3,4152,1651291011,2647758762
5,0,2391,1338177073,1373632601
4,9,1688,2614692663,920341461
12,14,4934,3765712879,1827528368
14,15,3443,1384446009,1767962560
1,12,8542,3801060757,461880780
15,5,9657,168206636,3247712600
3,10,2576,711896781,1180262573
3,11,3577,80682962,2215445340
14,8,7949,1811102213,706394
8,1,1866,1616903367,2937424535
2,6,8195,2962990285,721250822
9,7,1580,1324666999,3059598653
8,4,9640,2222584898,939566437
3,13,9296,1859040697,91274650
14,2,4156,3131529008,2257884663
5,3,2723,410799050,2491716532
5,0,1472,1567860566,209641529
11,9,6678,2900137339,2870003428
2,14,5956,1940817762,3989691853
14,15,4739,3852258909,4161810677
12,12,4581,1531924303,601037482
8,5,9855,1948340064,1325811157
2,10,1210,777688122,1166659152
15,11,6410,2388062338,3328482229
5,8,881,1007126464,3441357846
3,1,7616,1592894820,1452003292
11,6,34,2040625404,3648564176
10,7,1156,3580080840,3530949392
2,4,3633,3342910854,2254913345
13,13,1986,2687445190,1992517895
3,2,4419,120929431,1462122524
3,3,5275,3828875129,3585847198
5,0,8256,2807474784,3064873889
14,9,1615,4282806953,2957172193
8,14,822,3539629242,2365490001
13,15,7568,4024436818,3188963623
15,12,2746,3469142426,2260291841
2,5,4051,1894195906,1772959061
0,10,4106,2037014865,2665516109
2,11,8592,4153962031,1686127947
8,8,8224,2426608210,3839232151
6,1,6341,2558573214,3808406473
11,6,2082,3838767289,3702321424
6,7,3472,3990372288,97383974
10,4,547,3774834252,4282034696
6,13,9920,627188895,2053890692
11,2,4064,1433349708,455291171
6,3,5160,3738197073,366389857
11,0,6256,3996005259,2910363168
11,9,1375,3915035283,3394434829
10,14,9062,419109544,3971188065
2,15,1198,4024312844,249245549
14,12,3520,2019123535,3892652353
7,5,3904,1626074997,1518683871
11,10,2412,2312396414,995865912
5,11,1774,2905408344,426157510
4,8,4707,526212860,4139838678
1,1,1558,408652814,402469642
3,6,2736,1259626229,1833990500
15,7,8569,39640783,1201881975
9,4,4277,1515504289,2518714079
14,13,2927,1544290692,434283337
3,2,6732,4059566145,2134832573
0,3,3198,1489225031,2160439455
6,0,2272,2971445709,1746536726
10,9,6198,430649382,3376751860
4,14,4152,3190031087,4215584315
13,15,2391,4073750714,1705130598
10,12,1688,4011365020,1708040103
4,5,4934,4272431333,1037648743
0,10,3443,3728835806,8551242
1,11,8542,925703935,816260338
0,8,9657,1070916911,14235037
1,1,2576,2164273038,3077105532
14,6,3577,898682030,2795362513
9,7,7949,1923984694,341819748
9,4,1866,3713619520,474969128
0,13,8195,1513519588,870860553
6,2,1580,74643700,3028787281
11,3,9640,3222749374,2578161074
0,0,9296,972096263,893463396
10,9,4156,591856091,3768773988
7,14,2723,816249511,356385834
